Item ID,Start Date,End Date
PBI-001,2024-02-12,2024-02-21
PBI-002,2024-01-29,2024-02-09
PBI-003,2024-03-19,2024-03-29
PBI-004,2024-01-01,2024-01-10
PBI-005,2024-01-12,2024-01-19
PBI-006,2024-01-05,2024-01-15
PBI-007,2024-02-20,2024-02-28
PBI-008,2024-01-08,2024-01-23
PBI-009,2024-01-24,2024-02-11
PBI-010,2024-01-15,2024-01-22
PBI-011,2024-01-02,2024-01-15
PBI-012,2024-01-01,2024-01-10
PBI-013,2024-02-20,2024-02-29
PBI-014,2023-12-28,2024-01-13
PBI-015,2024-01-15,2024-01-18
PBI-016,2024-01-31,2024-02-03
PBI-017,2024-03-13,2024-03-14
PBI-018,2023-12-27,2024-01-09
PBI-019,2024-03-04,2024-03-16
PBI-020,2023-12-26,2024-01-09
PBI-021,2024-03-08,2024-03-28
PBI-022,2024-01-30,2024-02-12
PBI-023,2024-03-20,2024-03-28
PBI-024,2024-02-12,2024-02-24
PBI-025,2024-03-03,2024-03-07
PBI-026,2023-12-25,2024-01-04
PBI-027,2024-01-22,2024-01-26
PBI-028,2023-12-25,2024-01-11
PBI-029,2024-01-18,2024-01-27
PBI-030,2024-01-04,2024-01-11
PBI-031,2024-01-23,2024-01-29
PBI-032,2024-01-26,2024-02-07
PBI-033,2023-12-29,2024-01-06
PBI-034,2024-02-23,2024-03-03
PBI-035,2024-02-19,2024-02-20
PBI-036,2024-01-14,2024-01-24
PBI-037,2024-02-07,2024-02-17
PBI-038,2023-12-30,2024-01-09
PBI-039,2024-02-04,2024-02-21
PBI-040,2024-03-13,2024-03-24
PBI-041,2024-01-22,2024-01-29
PBI-042,2024-02-22,2024-03-01
PBI-043,2024-01-01,2024-01-12
PBI-044,2024-03-03,2024-03-05
PBI-045,2024-01-17,2024-01-27
PBI-046,2024-01-06,2024-01-17
PBI-047,2024-02-17,2024-02-22
PBI-048,2023-12-29,2024-01-02
PBI-049,2024-03-09,2024-03-15
PBI-050,2023-12-25,2024-01-01
